	C:\Users\BTSUser\Desktop\Cooper Jump\Biomechanics_Spring 2024\Emily_CMJ.c3d	C:\Users\BTSUser\Desktop\Cooper Jump\Biomechanics_Spring 2024\Emily_CMJ.c3d
	TIME	FS1_1
	FRAME_NUMBERS	FORCE
	ORIGINAL	ORIGINAL
ITEM	X	Y
773	1.544000	540.769043
774	1.546000	539.457031
775	1.548000	539.705017
776	1.550000	539.721863
777	1.552000	539.200073
778	1.554000	539.454346
779	1.556000	539.715332
780	1.558000	540.235046
781	1.560000	540.502747
782	1.562000	539.703003
783	1.564000	540.230469
784	1.566000	540.486877
785	1.568000	540.492126
786	1.570000	539.704834
787	1.572000	540.487488
788	1.574000	540.742432
789	1.576000	540.749146
790	1.578000	540.741455
791	1.580000	539.968262
792	1.582000	539.946533
793	1.584000	539.955566
794	1.586000	541.008179
795	1.588000	540.742065
796	1.590000	539.951782
797	1.592000	540.745361
798	1.594000	540.741455
799	1.596000	540.747681
800	1.598000	540.734253
801	1.600000	539.700195
802	1.602000	539.958618
803	1.604000	540.484924
804	1.606000	540.731567
805	1.608000	539.689941
806	1.610000	540.991760
807	1.612000	540.466675
808	1.614000	539.693726
809	1.616000	539.693970
810	1.618000	539.423767
811	1.620000	539.940063
812	1.622000	540.205505
813	1.624000	539.431152
814	1.626000	539.683411
815	1.628000	540.195801
816	1.630000	539.680908
817	1.632000	539.676025
818	1.634000	539.676025
819	1.636000	539.406494
820	1.638000	539.931519
821	1.640000	539.931946
822	1.642000	539.918579
823	1.644000	540.184631
824	1.646000	539.653076
825	1.648000	539.656982
826	1.650000	539.396118
827	1.652000	539.913574
828	1.654000	539.910828
829	1.656000	539.133911
830	1.658000	540.173706
831	1.660000	540.421814
832	1.662000	539.118347
833	1.664000	539.375488
834	1.666000	540.419800
835	1.668000	539.122375
836	1.670000	539.895996
837	1.672000	539.375610
838	1.674000	540.157349
839	1.676000	540.164063
840	1.678000	540.158081
841	1.680000	539.893921
842	1.682000	539.629883
843	1.684000	539.629333
844	1.686000	539.640381
845	1.688000	539.638184
846	1.690000	539.890137
847	1.692000	540.155518
848	1.694000	539.635193
849	1.696000	540.154175
850	1.698000	539.897156
851	1.700000	539.880981
852	1.702000	539.879517
853	1.704000	540.409424
854	1.706000	540.411133
855	1.708000	540.399719
856	1.710000	540.397827
857	1.712000	540.402588
858	1.714000	540.402954
859	1.716000	541.695068
860	1.718000	540.908569
861	1.720000	541.686768
862	1.722000	541.437134
863	1.724000	541.943359
864	1.726000	541.433228
865	1.728000	541.688293
866	1.730000	541.957397
867	1.732000	542.214355
868	1.734000	541.697021
869	1.736000	541.434448
870	1.738000	541.693420
871	1.740000	541.957397
872	1.742000	541.177795
873	1.744000	540.915161
874	1.746000	541.955566
875	1.748000	540.925049
876	1.750000	541.441528
877	1.752000	540.659241
878	1.754000	540.390198
879	1.756000	540.395142
880	1.758000	540.650269
881	1.760000	540.394775
882	1.762000	539.874756
883	1.764000	540.128113
884	1.766000	540.394775
885	1.768000	538.818115
886	1.770000	539.339355
887	1.772000	539.091309
888	1.774000	539.343994
889	1.776000	540.135132
890	1.778000	539.865234
891	1.780000	539.332886
892	1.782000	539.865845
893	1.784000	540.386292
894	1.786000	539.083496
895	1.788000	539.865234
896	1.790000	540.380981
897	1.792000	539.853638
898	1.794000	539.863159
899	1.796000	540.125977
900	1.798000	540.130859
901	1.800000	539.858643
902	1.802000	540.633423
903	1.804000	540.127014
904	1.806000	540.125977
905	1.808000	540.378540
906	1.810000	540.632874
907	1.812000	539.865234
908	1.814000	540.893433
909	1.816000	540.644958
910	1.818000	540.114746
911	1.820000	540.900391
